SubID,t S__ [0],n S__ [0],t S__ [1],n S__ [1],t S__ [2],n S__ [2],t S__ [3],n S__ [3],t S__ [10],n S__ [10],t S__ [11],n S__ [11],t S__ [12],n S__ [12],t S__ [13],n S__ [13],t S__ [52],n S__ [52],t S__ [53],n S__ [53],t S__ [8],n S__ [8],t S__ [9],n S__ [9],t S__ [56],n S__ [56],t S__ [57],n S__ [57],t S__ [48],n S__ [48],t S__ [49],n S__ [49],t S__ [14],n S__ [14],t S__ [15],n S__ [15],t S_1 [0],n S_1 [0],t S_1 [1],n S_1 [1],t S_1 [2],n S_1 [2],t S_1 [3],n S_1 [3],t S_1 [10],n S_1 [10],t S_1 [11],n S_1 [11],t S_1 [12],n S_1 [12],t S_1 [13],n S_1 [13],t S_1 [52],n S_1 [52],t S_1 [53],n S_1 [53],t S_1 [8],n S_1 [8],t S_1 [9],n S_1 [9],t S_1 [56],n S_1 [56],t S_1 [57],n S_1 [57],t S_1 [48],n S_1 [48],t S_1 [49],n S_1 [49],t S_1 [14],n S_1 [14],t S_1 [15],n S_1 [15]
001,13,3,16,3,17,3,15,3,13,3,16,3,14,3,11,3,10,3,13,3,14,3,15,3,14,3,17,3,13,3,14,3,13,3,19,3,10,3,18,3,14,3,20,3,14,3,14,3,8,3,17,3,12,3,19,3,16,3,15,3,17,3,17,3,10,3,23,3,15,3,19,3
002,8,3,13,3,10,3,10,3,7,3,10,3,8,3,8,3,8,3,7,3,19,3,14,3,10,3,12,3,10,3,18,3,8,3,13,3,7,3,7,3,6,3,7,3,9,3,9,3,9,3,6,3,10,3,8,3,14,3,9,3,12,3,19,3,9,3,7,3,7,3,10,3
003,10,3,11,3,14,3,13,3,13,3,10,3,13,3,14,3,17,3,15,3,17,3,17,3,17,3,21,3,12,3,18,3,19,3,14,3,7,3,11,3,13,3,10,3,16,3,14,3,8,3,14,3,13,3,18,3,15,3,17,3,12,3,16,3,14,3,13,3,14,3,15,3
004,16,3,15,3,21,3,17,3,11,3,23,3,17,3,9,3,10,3,25,3,12,3,19,3,19,3,14,3,17,3,13,3,16,3,17,3,13,3,12,3,13,3,12,3,17,3,7,3,7,3,7,3,20,3,18,3,18,3,19,3,9,3,19,3,8,3,14,3,19,3,15,3
005,17,3,12,3,15,3,14,3,10,3,16,3,12,3,21,3,18,3,7,3,10,3,17,3,13,3,15,3,12,3,17,3,16,3,18,3,12,3,14,3,16,3,16,3,20,3,14,3,13,3,15,3,15,3,18,2,14,3,13,3,17,3,14,3,15,2,15,3,11,3,18,3
006,20,3,11,3,29,3,19,3,16,3,13,3,8,3,8,3,9,3,18,3,19,3,20,3,15,3,10,3,22,3,14,3,12,3,16,3,12,3,9,3,12,3,18,3,16,3,18,3,6,3,7,3,8,3,11,3,19,3,16,3,19,3,14,3,16,3,18,3,10,3,13,3
007,15,3,24,3,12,3,16,3,16,3,19,3,18,3,16,3,13,3,17,3,11,3,12,3,20,3,14,3,15,3,15,3,21,3,17,3,18,3,14,3,15,3,16,3,13,3,20,3,17,3,14,3,12,3,9,3,20,3,16,3,20,3,18,3,12,3,15,3,18,3,17,3
008,16,3,18,3,15,3,12,3,16,3,8,3,15,3,12,3,23,3,8,3,21,3,11,3,12,3,16,3,13,3,14,3,11,3,11,3,19,2,22,2,14,3,11,3,16,3,19,3,14,3,7,3,8,3,13,3,17,3,18,3,17,3,21,3,13,3,13,3,14,3,25,2
009,18,3,16,3,17,3,17,3,8,3,17,3,10,3,9,3,7,3,10,3,12,3,12,3,13,3,15,3,17,3,7,3,22,3,15,3,9,3,10,3,9,3,14,3,13,3,9,3,8,3,12,3,11,3,9,3,11,3,13,3,19,3,13,3,15,3,11,3,15,3,14,3
010,14,3,12,3,12,3,14,3,17,3,15,3,13,3,16,3,18,3,12,3,12,3,14,3,14,3,10,3,16,3,13,3,14,3,11,3,12,3,16,3,14,3,8,3,13,3,19,3,13,3,13,3,19,3,18,3,12,3,22,3,24,2,10,3,17,3,10,3,15,3,9,3
011,15,3,15,3,21,3,21,3,21,3,17,3,7,3,15,3,13,3,16,3,17,3,17,3,23,3,16,3,11,3,16,3,13,3,11,3,14,3,18,3,13,3,14,3,11,3,20,3,10,3,11,3,11,3,24,3,13,3,12,3,15,3,19,3,15,3,14,3,16,2,18,3
012,7,3,11,3,7,3,9,3,11,3,12,3,14,3,10,3,9,3,16,3,14,3,11,3,12,3,12,3,17,3,19,3,17,3,10,3,7,3,12,3,8,3,9,3,9,3,10,3,9,3,16,3,19,3,11,3,17,3,12,3,13,3,16,3,19,3,15,3,13,3,12,3
013,15,3,14,3,10,3,11,3,11,3,9,3,9,3,11,3,15,3,11,3,17,3,17,3,13,3,12,3,15,3,12,3,15,3,16,3,16,3,13,3,12,3,19,3,21,3,8,3,12,3,13,3,8,3,10,3,13,3,17,3,15,3,16,3,19,3,15,3,9,3,12,3
014,7,3,10,3,10,3,12,3,14,3,24,3,11,3,13,3,20,3,8,3,14,3,13,3,19,3,22,3,16,3,14,3,9,3,20,3,12,3,20,3,12,3,19,3,22,3,10,3,19,3,11,3,11,3,12,3,13,3,9,3,10,3,19,3,15,3,17,3,15,3,20,3
015,14,3,12,3,12,3,15,3,12,3,10,3,12,3,14,3,10,3,20,3,10,3,17,3,11,3,14,3,15,3,10,3,14,3,15,3,10,3,19,3,13,3,10,3,9,3,12,3,14,3,9,3,10,3,11,3,11,3,19,3,13,3,13,3,23,3,10,3,11,3,11,3
016,16,3,11,3,17,3,17,3,10,3,15,3,12,3,24,3,18,3,15,3,19,3,19,3,13,3,14,2,16,3,11,3,17,2,22,3,10,3,17,3,20,3,20,3,15,3,11,3,17,3,12,3,20,3,11,3,15,3,14,3,12,3,19,3,13,3,14,3,12,3,17,3
017,20,3,16,3,15,3,20,3,11,3,14,3,12,3,14,3,13,3,21,3,15,3,11,3,13,3,16,3,16,3,9,3,21,3,16,3,18,3,18,2,13,3,20,2,12,3,16,3,14,3,14,3,12,3,9,3,14,3,12,3,16,3,15,3,17,3,16,2,16,3,15,3
018,9,3,17,3,16,3,13,3,13,3,21,3,22,3,8,3,18,3,21,3,18,3,18,3,17,3,14,3,16,3,16,3,25,3,14,3,22,3,18,3,19,3,17,3,18,3,19,3,20,3,8,3,20,3,18,2,14,3,18,3,21,3,19,3,15,3,18,2,19,3,17,3
019,11,3,14,3,14,3,15,3,17,3,23,3,17,3,15,3,17,3,13,3,14,3,16,3,15,3,13,3,15,3,17,3,12,3,14,3,8,3,16,3,13,3,18,3,10,3,15,3,11,3,10,3,19,3,11,3,18,3,20,3,16,3,14,3,12,3,13,3,18,2,16,2
020,10,3,20,3,13,3,22,3,10,3,13,3,19,3,22,3,19,3,13,3,25,3,16,3,16,3,14,3,12,3,14,3,14,3,22,3,13,3,14,3,14,3,13,3,13,3,21,3,16,3,18,3,13,3,15,3,12,3,16,3,14,3,15,3,14,3,14,3,16,3,16,3
023,10,3,10,3,9,3,22,3,16,3,18,3,14,3,12,3,15,3,16,3,12,3,10,3,12,3,15,3,16,3,13,3,12,3,17,3,22,3,11,3,14,3,17,3,12,3,11,3,10,3,11,3,13,3,19,3,17,3,16,3,14,3,12,3,10,3,18,3,15,3,14,3
024,18,3,10,3,13,3,13,3,11,3,12,3,13,3,10,3,10,3,10,3,17,3,21,3,13,3,14,3,17,3,11,3,20,3,7,3,10,3,15,3,9,3,15,3,11,3,12,3,13,3,7,3,14,3,11,3,16,3,12,3,14,3,19,3,16,3,15,3,18,3,15,3
025,17,3,14,3,13,3,14,3,17,3,13,3,9,3,10,3,18,3,12,3,14,3,10,3,13,3,15,3,12,3,15,3,12,3,14,3,9,3,10,3,20,3,17,2,20,3,12,3,10,3,13,3,14,3,12,3,19,3,11,3,15,3,14,3,12,3,18,3,16,3,17,3
026,13,3,22,3,18,3,20,3,13,3,11,3,18,3,14,3,17,3,11,3,15,3,13,3,18,3,20,3,13,3,16,3,20,3,20,2,17,3,18,3,12,3,14,3,19,3,16,3,14,3,9,3,12,3,17,3,12,3,18,3,24,3,17,2,24,3,17,3,18,3,16,2
028,7,3,10,3,7,3,13,3,8,3,12,3,11,3,15,3,6,3,17,3,10,3,14,3,10,3,12,3,16,3,10,3,12,3,22,3,11,3,15,3,7,3,17,3,7,3,11,3,10,3,14,3,9,3,13,3,11,3,18,3,20,3,14,3,10,3,13,3,8,3,15,3
029,13,3,9,3,12,3,13,3,10,3,13,3,6,3,14,3,12,3,10,3,7,3,16,3,13,3,11,3,8,3,16,3,8,3,12,3,8,3,17,3,27,3,20,3,13,3,14,3,8,3,20,3,9,3,14,3,12,3,10,3,19,3,15,3,7,3,19,3,10,3,17,3
030,11,3,15,3,19,3,15,3,8,3,20,3,9,3,14,3,11,3,9,3,19,3,17,3,12,3,16,3,16,3,14,3,13,3,22,3,12,3,19,3,17,3,20,3,11,3,13,3,19,3,10,3,11,3,13,3,15,3,16,3,14,3,16,3,17,3,15,3,17,3,8,3
031,13,3,20,3,12,3,11,3,7,3,9,3,17,3,15,3,11,3,11,3,19,3,14,3,13,3,21,3,16,3,10,3,12,3,20,3,14,3,16,3,15,3,13,3,13,3,9,3,9,3,13,3,13,3,12,3,19,3,17,3,15,3,16,3,11,3,12,3,10,3,19,3
033,19,3,16,3,19,3,12,3,16,3,15,3,13,3,15,3,19,3,16,3,12,3,20,3,18,3,11,3,15,3,20,3,12,3,17,3,12,3,14,3,16,3,17,3,9,3,17,3,16,3,17,3,19,3,12,3,13,3,14,3,12,3,15,3,15,2,17,2,14,3,17,3
034,14,3,14,3,13,3,19,3,14,3,17,3,11,3,12,3,11,3,11,3,10,3,11,3,17,3,19,3,14,3,19,3,19,3,16,3,14,3,16,3,17,3,14,3,23,3,15,3,9,3,19,3,19,3,20,3,16,3,15,3,17,3,15,3,15,3,10,3,13,3,21,3
035,16,3,15,3,15,3,19,3,11,3,10,3,16,3,19,3,9,3,9,3,13,3,13,3,14,3,17,3,17,3,17,3,12,3,9,3,17,3,19,3,10,3,11,3,12,3,17,3,17,3,15,3,12,3,15,3,9,3,13,3,11,3,10,3,12,3,19,3,18,3,11,3
036,21,3,22,3,13,3,17,3,27,3,15,3,9,3,12,3,12,3,14,3,18,3,12,3,16,3,9,3,16,3,14,3,15,3,21,3,26,3,29,3,11,3,13,3,12,3,22,3,9,3,15,3,12,3,20,3,16,3,13,3,16,3,12,3,13,3,10,3,11,3,17,3
037,14,3,9,3,19,3,17,3,14,3,16,3,16,3,8,3,18,3,22,3,16,3,20,3,16,3,17,3,18,2,14,3,14,3,18,3,13,3,15,3,14,3,11,3,15,3,20,3,19,3,13,3,17,3,11,3,13,3,12,3,15,3,16,3,14,3,12,3,16,3,15,3
038,17,3,18,3,10,3,13,3,11,3,10,3,6,3,6,3,8,3,7,3,9,3,11,3,8,3,12,3,20,3,15,3,10,3,11,3,11,3,13,3,18,3,17,3,17,3,17,3,7,3,9,3,7,3,20,3,17,3,15,3,15,3,9,3,16,3,12,3,12,3,11,3
040,18,3,11,3,11,3,17,3,12,3,17,3,11,3,21,3,9,3,17,3,14,3,13,3,17,3,19,3,17,2,13,3,12,3,16,3,15,3,17,3,14,3,13,3,21,3,16,3,9,3,12,3,9,3,16,3,19,3,20,2,19,3,17,3,19,3,16,2,10,3,16,3
042,12,3,17,3,16,3,15,3,11,3,12,3,10,3,11,3,19,3,23,3,11,3,14,3,21,3,14,3,12,3,17,3,12,3,18,3,16,3,17,3,15,3,13,2,11,3,18,3,13,3,10,3,13,3,23,3,13,3,13,3,11,3,15,3,16,3,15,3,17,3,7,3
